FECHA,CAMPO_OFICIAL,CAMPO_SIH,UBICACION,CUENCA,CATEGORIA,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC,PETROLEO_CRUDO_EQUIVALENTE_MMBPCE,PETROLEO_MMB,GAS_MMMPC,CONDENSADO_MMB,LIQUIDOS_PLANTA_MMB,GAS_SECO_MMMPC
1/1/2010,Atún,ATUN,Aguas someras,Tampico-Misantla,1P,315.310542,847.471082,7.210643,4.13998,32.289299,0,1.158103,9.947095
1/1/2010,Atún,ATUN,Aguas someras,Tampico-Misantla,2P,327.182845,861.869215,10.688075,5.76875,51.728754,0,1.855327,15.935646
1/1/2010,Atún,ATUN,Aguas someras,Tampico-Misantla,3P,329.519152,864.70257,13.378439,7.0524,66.520933,0,2.38587,20.492549
1/1/2010,Aventurero,AVENTURERO,Terrestre,Burgos,1P,0,1.049829,2.00E-06,0,1.30E-05,0,0,1.20E-05
1/1/2010,Aventurero,AVENTURERO,Terrestre,Burgos,2P,0,1.049829,2.00E-06,0,1.30E-05,0,0,1.20E-05
1/1/2010,Aventurero,AVENTURERO,Terrestre,Burgos,3P,0,1.049829,1.00E-06,0,8.00E-06,0,0,8.00E-06
1/1/2010,Axón,AXON,Terrestre,Burgos,1P,0,3.244679,0.095083,0,0.55914,0,0,0.494518
1/1/2010,Axón,AXON,Terrestre,Burgos,2P,0,3.244679,0.200052,0,1.176417,0,0,1.040454
1/1/2010,Axón,AXON,Terrestre,Burgos,3P,0,18.316734,1.3244,0,7.788226,0,0,6.888108
1/1/2010,Ayapa,AYAPA,Terrestre,Cuencas del Sureste,1P,27.642047,13.344328,0.485218,0.485218,0.616689,0,0,0
1/1/2010,Ayapa,AYAPA,Terrestre,Cuencas del Sureste,2P,27.642047,13.344328,0.485218,0.485218,0.616689,0,0,0
1/1/2010,Ayapa,AYAPA,Terrestre,Cuencas del Sureste,3P,27.642047,13.344328,0.485218,0.485218,0.616689,0,0,0
1/1/2010,Ayatsil,AYATSIL,Aguas someras,Cuencas del Sureste,1P,2989.320238,310.500693,275.78956,269.397741,30.603585,0.930342,1.8581,18.740913
