AÑO,CAMPO_SIH,CATEGORIA,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC
2010,CARACOLILLO,3P,31.267352,34.380329
2010,CARAVANA,1P,0.0,8.478026
2010,CARAVANA,2P,0.0,9.79683
2010,CARAVANA,3P,0.0,9.79683
2010,CARDENAS,1P,1318.619081,2466.772193
2010,CARDENAS,2P,1318.619081,2466.772193
2010,CARDENAS,3P,1318.619081,2466.772193
2010,CARDO,1P,15.747403,44.030716
2010,CARDO,2P,15.747403,44.030716
2010,CARDO,3P,15.747403,44.030716
2010,CARDONA,1P,0.299508,0.032343
2010,CARDONA,2P,0.299508,0.252242
2010,CARDONA,3P,0.299508,0.252242
2010,CARISTAY,1P,0.439511,0.376117
2010,CARISTAY,2P,0.439511,0.376117
2010,CARISTAY,3P,0.439511,0.376117
2010,CARLOS,1P,0.0,44.320946
2010,CARLOS,2P,0.0,59.83783
2010,CARLOS,3P,0.0,92.001806
2010,CARLOTA,1P,0.0,2.603223
2010,CARLOTA,2P,0.0,2.603223
2010,CARLOTA,3P,0.0,3.219416
2010,CARMITO,1P,172.007443,1822.169724
2010,CARMITO,2P,172.007443,1822.169724
2010,CARMITO,3P,172.007443,1822.169724
2010,CARONTE,1P,0.0,0.0
2010,CARONTE,2P,0.0,5.589004
2010,CARONTE,3P,0.0,33.489643
2010,CARPA,1P,82.257063,18.976704
2010,CARPA,2P,82.257063,18.976704
2010,CARPA,3P,99.693326,22.99925
2010,CARRETAS,1P,0.0,78.340792
2010,CARRETAS,2P,0.0,92.064339
2010,CARRETAS,3P,0.0,111.764317
2010,CARRETON,1P,0.0,7.339872
2010,CARRETON,2P,0.0,8.812947
2010,CARRETON,3P,0.0,13.046774
2010,CARRIZO,1P,79.089431,51.066224
2010,CARRIZO,2P,79.089431,51.066224
2010,CARRIZO,3P,308.618696,63.953334
2010,CASA ROJA,1P,0.0,8.133125
2010,CASA ROJA,2P,0.0,8.133125
2010,CASA ROJA,3P,0.0,8.133125
2010,CASTA,1P,0.0,1.77422
2010,CASTA,2P,0.0,8.915424
2010,CASTA,3P,0.0,12.116398
2010,CASTARRICAL,1P,180.903503,245.847861
2010,CASTARRICAL,2P,180.903503,245.847861
2010,CASTARRICAL,3P,180.903503,245.847861
2010,CASTELL,1P,0.0,16.202584
2010,CASTELL,2P,0.0,16.202584
2010,CASTELL,3P,0.0,16.202584
2010,CASTILLO DE TEAYO,1P,15.476429,11.607322
2010,CASTILLO DE TEAYO,2P,15.476429,11.607322
2010,CASTILLO DE TEAYO,3P,15.476429,11.607322
2010,CATARRIN,1P,0.0,14.846403
2010,CATARRIN,2P,0.0,14.846403
2010,CATARRIN,3P,0.0,14.846403
2010,CATEDRAL,1P,36.903646,717.017022
2010,CATEDRAL,2P,36.903646,717.017022
2010,CATEDRAL,3P,36.903646,717.017022
2010,CAUCHY,1P,0.0,473.823966
2010,CAUCHY,2P,0.0,473.823966
2010,CAUCHY,3P,0.0,490.855994
2010,CAUDALOSO,1P,0.0,77.75564
2010,CAUDALOSO,2P,0.0,88.980606
2010,CAUDALOSO,3P,0.0,105.75802
2010,CEHUALACA,1P,0.0,0.0
2010,CEHUALACA,2P,0.0,0.0
2010,CEHUALACA,3P,0.0,10.4298
