CAMPO_SIH,CATEGORIA,AÑO,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC
SABANA GRANDE,3P,2026,1816.8428780660163,907.8179983567989
SALINAS BARCO CARACOL,3P,2025,77.74199299737792,155.4836466479838
SALINAS BARCO CARACOL,3P,2026,77.74199299691514,155.48366025332572
SAMARIA,3P,2025,4662.998429264872,5220.028811826431
SAMARIA,3P,2026,4651.510440322577,5223.205743685729
SAN ANDRES,3P,2025,1422.1051502754763,1724.4573760643764
SAN ANDRES,3P,2026,1422.1051500268607,1724.4574228486067
SAN RAMON,3P,2025,426.1575529999955,187.10846899999328
SAN RAMON,3P,2026,426.1575529999955,187.10846899999328
SANTA AGUEDA,3P,2025,386.46666378391603,243.3464488565353
SANTA AGUEDA,3P,2026,386.4666629038773,243.34644835322575
SANTA ANA,3P,2025,141.2528584800274,133.87192966947603
SANTA ANA,3P,2026,141.25285848143693,133.8718947951123
SANTIAGO,3P,2024,9.115067999999944,4.557525639052457
SANTIAGO,3P,2025,9.115067999999944,4.55752551599912
SANTUARIO,3P,2025,649.7074883350285,317.2609191809048
SANTUARIO,3P,2026,649.702014051871,280.90798256376655
SEN,3P,2025,979.9376994768356,2634.489752081635
SEN,3P,2026,979.9376993692136,2634.4894397367775
SHISHITO,3P,2025,116.41830406912067,80.27087835971201
SHISHITO,3P,2026,116.41831244548071,78.29783042895353
SIHIL,3P,2025,1688.7020686839,580.3314026595323
SIHIL,3P,2026,1688.5299878855965,580.3314175290226
SILOZUCHIL,3P,2024,0.337517,0.40504
SILOZUCHIL,3P,2025,0.337517,0.40504
SINAN,3P,2025,795.7151647084823,1589.322459889163
SINAN,3P,2026,795.1112321950229,1599.9741680943523
SINI,3P,2025,154.84595911395243,357.48246829973544
SINI,3P,2026,155.19258458079565,358.58244285797866
SITIO,3P,2025,-0.0018899760834756307,69.63980684058333
SITIO,3P,2026,-4.712556726273187e-08,0.027882405620360373
SITIO GRANDE,3P,2025,1152.6796023436407,1837.9908538380366
SITIO GRANDE,3P,2026,1152.6796024308828,1837.9908538382367
SOLEDAD,3P,2025,-0.046232211517235555,208.82555506835436
SOLEDAD,3P,2026,-2.289732657971555e-06,270.655577250049
SOLEDAD NORTE,3P,2025,0.33643988768687905,115.2211532308948
SOLEDAD NORTE,3P,2026,0.6726272363888088,107.65159531189676
SUNUAPA,3P,2025,0.4716296214817959,0.5402005831155634
SUNUAPA,3P,2026,0.44399108220717665,0.5591487460117981
SUR CHINAMPA NORTE DE AMATLAN,3P,2025,718.7817502004366,422.20984230732495
SUR CHINAMPA NORTE DE AMATLAN,3P,2026,718.7817485671236,422.2098413668192
SUR DE AMATLAN,3P,2025,0.001461568758882148,0.0019459729948880788
SUR DE AMATLAN,3P,2026,0.0014690461430597061,0.0019538672758513203
SUUK,3P,2025,737.4375883156034,501.5723978245068
SUUK,3P,2026,729.3818918973843,500.6630213122722
TAJIN,3P,2025,-630.5101219963353,522.7034623574962
TAJIN,3P,2026,-280.35226703114375,642.4585012882752
TAKIN,3P,2025,160.00593800218886,21.111612913826143
TAKIN,3P,2026,160.00593800219008,21.111612913835508
TAMAULIPAS CONSTITUCIONES,3P,2025,2607.8113173422935,1352.5197926333876
TAMAULIPAS CONSTITUCIONES,3P,2026,2607.811306840069,1352.5197876229488
TARATUNICH,3P,2025,1013.9959599774413,1059.1173808062053
TARATUNICH,3P,2026,1013.9960016631974,1059.1171996744085
TECA,3P,2025,137.73174396977146,168.16728595391731
TECA,3P,2026,136.93245312642082,168.19831581568366
TECOALLI,3P,2025,65.25796734873148,46.523045569360875
TECOALLI,3P,2026,65.25796710365447,46.52259967455138
TEEKIT,3P,2025,63.08441786834856,12.26784092695314
TEEKIT,3P,2026,63.08440470609229,12.26783894265412
